"","kappa","C","LR","modelR","LRstar","diversity"
"Sample_134807_R1_trim",0.57929,0.607097728653216,4149954420.92999,0.999569469677292,146808088252.876,21.2049692819669
"Sample_134808_R1_trim",0.60958,0.636051603390175,3797303333.97399,0.999889512953222,185632512033.864,20.8124419583906
"Sample_134809_R1_trim",0.61056,0.636986278738903,6556149543.042,0.999288353430166,446055109437.871,21.2522037592884
"Sample_134810_R1_trim",0.72013,0.740724156266447,4860493378.56601,0.99980392535879,78935607184.7466,20.1811364865041
"Sample_134811_R1_trim",0.48268,0.51383864055549,3296857954.022,0.999152822512074,343753614784.769,21.619594494538
"Sample_134812_R1_trim",0.6942,0.716304978630546,4749475484.29201,0.999444664859936,77364168137.9469,20.4001864546334
"Sample_134813_R1_trim",0.40085,0.433588694938249,2914709518.466,0.997320481383595,1481276953483.44,22.1424229277093
"Sample_134814_R1_trim",0.65491,0.679153607860904,3982328989.76,0.999517735466747,65271811440.0216,20.6886127057033
"Sample_134815_R1_trim",0.42778,0.460141493774096,3187108363.896,0.998317780695909,1045961940040.95,21.9813097541078
"Sample_134816_R1_trim",0.61949,0.645497361565846,2979702089.878,0.999671674696453,56670200838.3027,20.7059582065644
"Sample_134817_R1_trim",0.47313,0.504537304301133,5222808834.282,0.997632826047076,2210333516677.87,22.1706961585178
"Sample_134818_R1_trim",0.65356,0.677873750228865,4942783313.37,0.999854269841924,160736134614.575,20.7264155295392
"Sample_134819_R1_trim",0.43213,0.46441686896662,3889906206.406,0.998108148430569,3044437760812.99,22.181595661658
"Sample_134820_R1_trim",0.6152,0.641409935149797,3799785419.92801,0.999785287546786,99407670557.4537,20.8901367924855
"Sample_134821_R1_trim",0.43983,0.471975741666437,4742505905.829,0.998886619535174,708240940377.697,22.287717798779
"Sample_134822_R1_trim",0.48464,0.515745641644549,3759276001.54,0.99947721758646,301940360563.721,21.7484197205463
"Sample_134823_R1_trim",0.65964,0.683636065651247,4259002849.959,0.999828040021024,92569644768.8031,20.6493359817439
"Sample_134824_R1_trim",0.56129,0.589830453549418,5421701027.418,0.999757152689587,260814258836.346,21.6000590362049
"Sample_134825_R1_trim",0.71963,0.740254011511761,5448378193.3,0.999785300707076,73056289923.3026,20.4227962763353
"Sample_134826_R1_trim",0.49187,0.522774436032932,4371349062.456,0.999349009941848,391245149437.89,21.8215998816855
"Sample_134827_R1_trim",0.69306,0.715229623556703,5381916971.998,0.999847754518422,104730056963.416,20.5452296375472
"Sample_134828_R1_trim",0.56073,0.589292494073979,4278661537.51501,0.999709499871222,165980140082.225,21.3934822851189
"Sample_134829_R1_trim",0.71607,0.736905768636091,4958772281.56801,0.999911688947184,107910646523.212,20.1832788602321
"Sample_134830_R1_trim",0.55536,0.584131496936464,5193340541.15602,0.999495296692789,248536253366.059,21.5873320610162
"Sample_134831_R1_trim",0.69053,0.712842546835995,5020916538.47001,0.99987757660415,164561238677.762,20.303406918493
"Sample_134832_R1_trim",0.54776,0.576819953623979,4685720839.64101,0.999590976880957,183766259943.731,21.5682699672359
"Sample_134833_R1_trim",0.67667,0.699752107573946,5068158457.74099,0.999832566388697,151326019939.422,20.4794159861261
"Sample_134834_R1_trim",0.52265,0.5526002819199,4960060680.64599,0.998969113896734,306277365308.946,21.7866664309111
"Sample_134835_R1_trim",0.6558,0.679997241912815,4895265886.802,0.999928870035659,200965581014.722,20.5808257254811
"Sample_134836_R1_trim",0.45606,0.487871334250806,4832954813.124,0.999443497052253,364717393103.09,22.1808609881395
"Sample_134837_R1_trim",0.63227,0.657659558029086,4606752369.78899,0.999849722825186,109809779982.681,20.9924596070496
