sample_name,PC1 (98.5%),PC2 (1.5%)
1581-PDU-10,-0.035405344,-0.290826412
1581-PDU-12,0.05056586,-0.366352552
1581-PDU-22,0.097788887,-0.075707428
1581-PDU-24,0.086060051,-0.155037709
1581-PDU-26,0.177916797,-0.013523013
1581-PDU-32,-0.216939227,0.261615128
1581-PDU-34,-0.337708233,0.288856052
1581-PDU-4,-0.063647106,-0.145996801
1581-PDU-54,0.073227771,0.021677502
1581-PDU-60,-0.071119163,-0.447678157
1581-PDU-62,0.048035073,0.049937324
1581-PDU-64,-0.09243762,0.031102514
1581-PDU-66,-0.082159793,-0.070305235
1581-PDU-72,0.21020034,0.087664327
1581-PDU-74,0.323227767,0.441347044
1581-PDU-76,0.20389453,-0.145535766
1581-PDU-80,-0.341632289,-0.009725916
1581-PDU-82,-0.554032608,0.184356603
1581-PDU-86,0.301521777,0.332517081
1581-PDU-8,0.222642532,0.021615414
