sample_name,PC1 (88.8%),PC2 (11.2%)
1581-PDU-3,-0.129430529,-0.068717462
1581-PDU-59,-0.240411024,-0.083149357
1581-PDU-7,0.307099529,-0.114653913
1581-PDU-61,-0.198391424,0.040064628
1581-PDU-9,-0.048343096,0.212735061
1581-PDU-63,-0.214083498,0.032646996
1581-PDU-11,0.371655424,0.086577465
1581-PDU-65,-0.203572535,0.120722438
1581-PDU-21,0.353060215,0.199775123
1581-PDU-71,-0.002462416,-0.587403685
1581-PDU-23,0.405417626,0.135185814
1581-PDU-73,-0.021896539,0.045840149
1581-PDU-25,0.226120102,0.083584224
1581-PDU-75,-0.009751576,-0.551511617
1581-PDU-31,0.025991146,-0.13019
1581-PDU-79,-0.308965236,0.259734007
1581-PDU-33,-0.070195924,0.265266909
1581-PDU-81,-0.279426006,-0.035234635
1581-PDU-53,-0.128633417,0.164333063
1581-PDU-85,0.166219177,-0.075605207
