sample_name,PC1 (95.7%),PC2 (4.3%)
1581-PDU-10,-0.16568953,0.060621682
1581-PDU-11,0.181682237,-0.250490406
1581-PDU-12,-0.163491327,-0.027868695
1581-PDU-21,0.150627176,-0.155294171
1581-PDU-22,-0.172957263,-0.036610343
1581-PDU-23,0.166423864,-0.192419952
1581-PDU-24,-0.159666048,-0.053112677
1581-PDU-25,0.143230802,-0.096305288
1581-PDU-26,-0.186693542,-0.10006591
1581-PDU-31,0.180467953,-0.199486815
1581-PDU-32,-0.12191936,0.174134805
1581-PDU-33,0.217734672,0.034850996
1581-PDU-34,-0.100975208,0.25672093
1581-PDU-3,0.153344319,0.021364389
1581-PDU-4,-0.149998783,0.067459503
1581-PDU-53,0.18148773,0.068744018
1581-PDU-54,-0.180236324,-0.041286244
1581-PDU-59,0.151307507,0.151415108
1581-PDU-60,-0.146683948,0.092902666
1581-PDU-61,0.144092331,0.13037777
1581-PDU-62,-0.12297955,-0.004465803
1581-PDU-63,0.158184464,0.153712171
1581-PDU-64,-0.139172477,0.112420192
1581-PDU-65,0.175908292,0.151411042
1581-PDU-66,-0.137059354,0.065092668
1581-PDU-71,0.050106042,-0.063554089
1581-PDU-72,-0.172965552,-0.158666546
1581-PDU-73,0.151409121,0.008908015
1581-PDU-74,-0.206091581,-0.253536903
1581-PDU-75,0.049908404,-0.025865914
1581-PDU-76,-0.16822872,-0.151141154
1581-PDU-79,0.179030478,0.188352215
1581-PDU-7,0.140159674,-0.221481613
1581-PDU-80,-0.109056776,0.260375587
1581-PDU-81,0.125958923,0.170449502
1581-PDU-82,-0.070506908,0.434610922
1581-PDU-85,0.172075128,-0.194434072
1581-PDU-86,-0.21049509,-0.210747426
1581-PDU-8,-0.186130177,-0.128271327
1581-PDU-9,0.197858402,-0.038818835
