#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Consensus
9cfa52be027c8fa57d197b21dd7a958c	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	0.8000000
b744eae1244325f606575483df0de67e	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	0.7000000
07986a52f2b1c9080f568ca13e2d1b4c	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	NA	1.0000000
e4191d3ececf3e363ac94fd6d677369b	Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	NA	1.0000000
3f456a18968cea5c5e549e281f0f5808	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	0.8000000
8500e8b61b6ec11e70a91a8e0be16573	Bacteria	Cyanobacteria	NA	Synechococcales	Pseudanabaenaceae	Pseudanabaena	Pseudanabaena mucicola	0.7000000
8ae518dbb29595b3f79214be0b589066	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	NA	1.0000000
9b29387fb30dcf071ef4e5945264756e	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	NA	1.0000000
4c3c91a07e2685ea9eef6c712380549c	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter acidiphobus	0.7000000
bca43122728fdba3c7b2048c7ec12864	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	0.6000000
15583199d96afb4dd0a29b58fb7e26bd	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA	0.8000000
d6c6048d165a11a47c4c89fef20660a0	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Candidatus Methylopumilus	Candidatus Methylopumilus planktonicus	0.9000000
75f3c0488935d46c17ebb2eaa2d1fb9e	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	0.9000000
b5ac56f47ba52d28bbf8c6b8767eb172	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	NA	0.9000000
c6bb861424411a4bf49a75f82d1e5b6c	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	1.0000000
a4cbe987942964b584e95e4efab6a176	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	0.9000000
bb0355f50f0241553e25141a27691a60	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	NA	0.7000000
0f76f03fbc8c4812e38ffecb83f0c9aa	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA	0.9000000
7f7f0c0982b78a515bb35115fac46dc3	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	0.8000000
c19895b5758dab70424b25f85224370e	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	NA	0.8000000
65d43491988bfe557da4d86a5ba25dae	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	1.0000000
dc526c9c19c9aa72ba9eff0389a3958f	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	0.8000000
119a653172dea9ac267aa9796c043056	Bacteria	Actinobacteria	Actinobacteria	NA	NA	NA	NA	1.0000000
7f15968746a4342bdfba9db59a107013	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	0.8000000
61472cfcf678524c7953abc77b8c9127	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA	0.6000000
217ad30df93f7f660f5100ba14316c69	Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	Caldicoprobacter	NA	0.8000000
