#OTUID	3G-2-Aug-23-22	3G-2-Aug-23-50	3G-3-Aug-23-22	3G-3-Aug-23-50	BWT-1-22	BWT-1-50	BWT-2-22	BWT-2-50	BWT-2G-1-22	BWT-2G-1-50	BWT-2G-2-22	BWT-2G-2-50	BWT-2G-3-22	BWT-2G-3-50	BWT-3-22	BWT-3-50	BWT-4-22	BWT-4-50	Mirror-Nessie-22	Mirror-Nessie-50	SC07-22	SC07-50	SC27-22	SC27-50	SC29-22	SC29-50	SC35-22	SC35-50	SC37-22	SC37-50	SC39-22	SC39-50	SC49-22	SC49-50	SC51-22	SC51-50	SC53-22	SC53-50	SC57-22	SC57-50
9cfa52be027c8fa57d197b21dd7a958c	9313	1200	5752	1751	7645	2569	7596	2028	9398	2443	8505	2236	6215	1342	6910	2448	9531	2603	6017	283	8301	656	7796	452	13651	999	8968	614	6344	479	5921	541	9935	425	8756	612	10719	496	7975	1771
b744eae1244325f606575483df0de67e	2383	257	805	280	3592	854	4727	534	4086	699	4080	718	7374	1209	7676	2495	10855	2700	7070	109	8732	320	2364	112	7076	249	8323	395	8099	190	7165	214	3553	172	5751	193	2785	262	5754	811
07986a52f2b1c9080f568ca13e2d1b4c	263	5272	114	5658	1290	5934	325	6545	507	5331	641	5687	55	4006	280	3367	545	4022	88	2707	89	2684	503	10586	700	7761	73	2988	93	4548	116	3792	270	11724	314	3629	521	10929	742	3744
e4191d3ececf3e363ac94fd6d677369b	148	2175	0	1934	638	4826	94	4491	522	3675	242	4185	83	6723	210	4208	525	5695	34	3275	55	3738	61	6451	199	6377	94	6252	37	3740	52	5002	0	3536	51	3460	67	2024	49	3822
3f456a18968cea5c5e549e281f0f5808	2584	317	1235	478	2852	924	2975	619	3224	854	3066	778	3676	837	4122	1515	5924	1782	3614	129	5135	279	2344	122	4740	251	6093	256	4477	178	3582	199	4310	111	3078	217	3785	169	2693	651
8500e8b61b6ec11e70a91a8e0be16573	96	1654	38	1074	425	3457	353	5001	359	4682	498	4579	45	3215	128	1691	391	3386	33	869	29	618	182	2948	154	2183	115	2700	95	2090	85	2463	241	4060	161	2432	124	3451	561	2216
8ae518dbb29595b3f79214be0b589066	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9b29387fb30dcf071ef4e5945264756e	139	3172	142	1672	195	1731	77	1332	50	1643	97	1106	25	422	27	312	28	287	27	464	41	2078	371	3395	895	7130	57	191	78	336	43	345	82	929	191	3666	195	1590	336	3699
4c3c91a07e2685ea9eef6c712380549c	1536	110	1166	270	1209	388	1780	311	1719	351	1508	333	1085	179	995	404	2099	699	1135	32	1881	67	2316	75	4722	141	1765	74	1416	32	1550	54	821	47	2033	51	1169	60	2549	249
bca43122728fdba3c7b2048c7ec12864	1026	133	692	186	659	233	832	167	593	179	751	170	421	89	366	146	735	273	544	26	1914	112	2092	49	6299	144	1228	35	1577	58	1859	73	873	39	2049	112	935	35	2041	270
15583199d96afb4dd0a29b58fb7e26bd	1534	575	1080	530	770	369	1248	183	985	341	1919	218	544	397	610	439	1093	548	835	244	459	543	1663	599	2593	474	749	394	545	393	392	595	560	397	609	328	1064	644	1066	304
d6c6048d165a11a47c4c89fef20660a0	894	72	557	192	1256	436	1727	243	1394	353	2056	313	1133	191	1185	415	1657	603	1160	30	1735	36	1021	26	1903	70	1270	75	908	23	982	44	886	32	1486	43	1179	147	1686	191
75f3c0488935d46c17ebb2eaa2d1fb9e	1033	260	322	146	694	387	1609	312	1050	355	2014	314	556	430	695	475	860	347	388	163	524	341	538	115	1657	394	649	344	868	191	769	474	835	245	991	452	645	399	803	448
